timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763974032764,14647,User Login,200,OK,100 Concurrent Users 1-26,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,14647,0,2
1763974032868,14561,User Login,200,OK,100 Concurrent Users 1-27,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,14561,0,0
1763974032969,14563,User Login,200,OK,100 Concurrent Users 1-28,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,14563,0,1
1763974033067,14982,User Login,200,OK,100 Concurrent Users 1-29,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,14982,0,1
1763974048423,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-26,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974048430,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-27,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974048534,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-28,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974049051,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-29,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974033172,16815,User Login,200,OK,100 Concurrent Users 1-30,text,true,,1391,288,100,100,http://localhost:3002/api/auth/login,16815,0,1
1763974033268,17131,User Login,200,OK,100 Concurrent Users 1-31,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,17131,0,1
1763974031666,18735,User Login,200,OK,100 Concurrent Users 1-15,text,true,,1389,288,100,100,http://localhost:3002/api/auth/login,18735,0,1
1763974050994,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-30,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974051404,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-31,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974051407,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-15,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974033474,18285,User Login,200,OK,100 Concurrent Users 1-33,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,18285,0,1
1763974033568,18193,User Login,200,OK,100 Concurrent Users 1-34,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,18193,0,1
1763974033668,18803,User Login,200,OK,100 Concurrent Users 1-35,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,18803,0,1
1763974052761,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-33,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974052766,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-34,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974053472,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-35,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974031470,22109,User Login,200,OK,100 Concurrent Users 1-13,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,22109,0,0
1763974033868,19815,User Login,200,OK,100 Concurrent Users 1-37,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,19815,0,1
1763974033973,19812,User Login,200,OK,100 Concurrent Users 1-38,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,19812,0,0
1763974034070,20121,User Login,200,OK,100 Concurrent Users 1-39,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,20121,0,1
1763974034167,20126,User Login,200,OK,100 Concurrent Users 1-40,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,20126,0,0
1763974054584,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-13,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974054687,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-37,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974054790,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-38,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974055196,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-39,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974055296,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-40,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974034516,20898,Get Property Details,200,OK,100 Concurrent Users 1-3,text,true,,1804,300,100,100,http://localhost:3002/api/properties/13,20897,0,0
1763974035437,19988,Get Property Details,200,OK,100 Concurrent Users 1-4,text,true,,1811,301,100,100,http://localhost:3002/api/properties/6,19988,0,0
1763974036048,19377,Get Property Details,200,OK,100 Concurrent Users 1-6,text,true,,1787,300,100,100,http://localhost:3002/api/properties/14,19377,0,0
1763974036334,19092,Get Property Details,200,OK,100 Concurrent Users 1-7,text,true,,1801,302,100,100,http://localhost:3002/api/properties/11,19092,0,0
1763974034268,21159,User Login,200,OK,100 Concurrent Users 1-41,text,true,,1389,288,100,100,http://localhost:3002/api/auth/login,21159,0,1
1763974034366,21063,User Login,200,OK,100 Concurrent Users 1-42,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,21063,0,1
1763974032267,23163,User Login,200,OK,100 Concurrent Users 1-21,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,23163,0,0
1763974034573,21194,User Login,200,OK,100 Concurrent Users 1-44,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,21194,0,1
1763974033311,22457,Get Property Details,200,OK,100 Concurrent Users 1-1,text,true,,1809,299,100,100,http://localhost:3002/api/properties/4,22457,0,0
1763974034667,21101,User Login,200,OK,100 Concurrent Users 1-45,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,21101,0,1
1763974034768,21001,User Login,200,OK,100 Concurrent Users 1-46,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,21001,0,1
1763974037389,18381,Get Property Details,200,OK,100 Concurrent Users 1-12,text,true,,1792,298,100,100,http://localhost:3002/api/properties/17,18381,0,0
1763974038393,17384,Get Property Details,200,OK,100 Concurrent Users 1-11,text,true,,1921,299,100,100,http://localhost:3002/api/properties/1,17384,0,0
1763974038497,17280,Get Property Details,200,OK,100 Concurrent Users 1-10,text,true,,1788,297,100,100,http://localhost:3002/api/properties/7,17280,0,0
1763974039502,16278,Get Property Details,200,OK,100 Concurrent Users 1-8,text,true,,1783,296,100,100,http://localhost:3002/api/properties/14,16278,0,0
